year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2014,4,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,140,-8.7,117,-3.9,23
2014,4,EU,전기기계부품,전기변환장치,방전램프용안정기,5,22,-5.0,28,-10.8,-6
2014,4,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,362,-4.8,364,6.0,-2
2014,5,EU,전기기계부품,전기변환장치,전동기,순번,343,-4.5,285,1.2,58
2014,5,EU,전기기계부품,전기변환장치,발전기,24019,370,0.0,168,1.3,202
2014,5,EU,전기기계부품,전기변환장치,변압기,6,199,4.8,75,-15.1,124
2014,5,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,147,1.6,120,3.1,27
2014,5,EU,전기기계부품,전기변환장치,방전램프용안정기,5,25,-1.4,25,-14.4,0
2014,5,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,349,-8.0,366,4.0,-17
2014,6,EU,전기기계부품,전기변환장치,전동기,순번,373,6.4,298,16.6,75
2014,6,EU,전기기계부품,전기변환장치,발전기,24019,328,-8.2,167,15.4,161
2014,6,EU,전기기계부품,전기변환장치,변압기,6,213,-26.1,85,4.1,128
2014,6,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,140,-3.9,117,8.1,23
2014,6,EU,전기기계부품,전기변환장치,방전램프용안정기,5,25,-2.5,31,27.2,-6
2014,6,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,397,0.6,362,9.2,35
2014,7,EU,전기기계부품,전기변환장치,전동기,순번,408,1.6,313,11.2,95
2014,7,EU,전기기계부품,전기변환장치,발전기,24019,390,14.7,205,29.1,185
2014,7,EU,전기기계부품,전기변환장치,변압기,6,273,1.0,84,-3.8,189
2014,7,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,156,-2.5,128,10.6,28
2014,7,EU,전기기계부품,전기변환장치,방전램프용안정기,5,28,0.7,29,3.1,-1
2014,7,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,434,17.3,402,10.4,32
2014,8,EU,전기기계부품,전기변환장치,전동기,순번,326,1.9,249,2.1,77
2014,8,EU,전기기계부품,전기변환장치,발전기,24019,292,-15.8,151,1.1,141
2014,8,EU,전기기계부품,전기변환장치,변압기,6,193,-10.4,73,-5.4,120
2014,8,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,127,-4.0,113,4.6,14
2014,8,EU,전기기계부품,전기변환장치,방전램프용안정기,5,23,-3.3,22,-5.9,1
2014,8,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,405,7.5,340,-0.4,65
2014,9,EU,전기기계부품,전기변환장치,전동기,순번,369,14.3,314,12.5,55
