year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2013,3,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,117",4.8,"4,857",3.5,"6,260"
2013,3,미국,섬유제품,제사 및 방적,기타 방적,11014,31,-39.6,180,-47.8,-149
2013,4,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,3,-96.9,549,-41.0,-546
2013,4,미국,섬유제품,제사 및 방적,면방적,11019,"110,930",21.3,"13,586",-17.2,"97,344"
2013,4,미국,섬유제품,제사 및 방적,모방적,6,584,-21.4,"9,765",-13.8,"-9,181"
2013,4,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"36,650",-7.7,"29,364",9.0,"7,286"
2013,4,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"12,564",19.3,"5,120",7.8,"7,444"
2013,4,미국,섬유제품,제사 및 방적,기타 방적,11014,19,233.4,412,54.7,-393
2013,5,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,7,-26.5,405,-28.7,-398
2013,5,미국,섬유제품,제사 및 방적,면방적,11019,"123,731",10.1,"15,406",11.2,"108,325"
2013,5,미국,섬유제품,제사 및 방적,모방적,6,"1,114",68.5,"10,521",7.4,"-9,407"
2013,5,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"40,462",-3.3,"30,919",12.9,"9,543"
2013,5,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"12,345",18.6,"5,119",-4.1,"7,226"
2013,5,미국,섬유제품,제사 및 방적,기타 방적,11014,27,-79.3,240,15.3,-213
2013,6,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,29,318.5,439,-50.9,-410
2013,6,미국,섬유제품,제사 및 방적,면방적,11019,"123,490",6.0,"10,707",-25.0,"112,783"
2013,6,미국,섬유제품,제사 및 방적,모방적,6,"1,014",0.9,"7,969",-28.3,"-6,955"
2013,6,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"40,678",-1.9,"27,020",1.2,"13,658"
2013,6,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,281",1.6,"5,088",-10.4,"6,193"
2013,6,미국,섬유제품,제사 및 방적,기타 방적,11014,26,295.7,115,-38.7,-89
2013,7,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,20,2.7,843,41.8,-823
2013,7,미국,섬유제품,제사 및 방적,면방적,11019,"122,311",3.9,"11,757",-17.0,"110,554"
2013,7,미국,섬유제품,제사 및 방적,모방적,6,"1,092",2.0,"11,470",-10.7,"-10,378"
2013,7,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"39,275",5.8,"29,386",17.8,"9,889"
2013,7,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"10,582",4.8,"6,075",12.5,"4,507"
2013,7,미국,섬유제품,제사 및 방적,기타 방적,11014,19,-49.9,190,-24.0,-171
