CA,LC,MC,SC,S_code,country,export,export_rate,import,import_rate,month,year
-164,섬유제품,제사 및 방적,기타 방적,11014,미국,10,-62.8,174,-27.5,5,2014
-616,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,48,65.6,664,51.4,6,2014
"115,654",섬유제품,제사 및 방적,면방적,11019,미국,"129,462",4.8,"13,808",29.0,6,2014
"-9,731",섬유제품,제사 및 방적,모방적,6,미국,940,-7.2,"10,671",33.9,6,2014
"18,081",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"42,643",4.8,"24,562",-9.1,6,2014
"8,850",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,950",23.7,"5,100",0.2,6,2014
-255,섬유제품,제사 및 방적,기타 방적,11014,미국,20,-23.6,275,137.9,6,2014
-525,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,165,708.7,690,-18.2,7,2014
"108,975",섬유제품,제사 및 방적,면방적,11019,미국,"123,724",1.2,"14,749",25.5,7,2014
"-13,622",섬유제품,제사 및 방적,모방적,6,미국,895,-18.0,"14,517",26.6,7,2014
"18,023",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"44,094",12.3,"26,071",-11.3,7,2014
"7,431",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,677",19.8,"5,246",-13.6,7,2014
-129,섬유제품,제사 및 방적,기타 방적,11014,미국,5,-73.5,134,-29.5,7,2014
-665,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,8,-84.2,673,31.7,8,2014
"111,416",섬유제품,제사 및 방적,면방적,11019,미국,"125,684",6.2,"14,268",6.4,8,2014
"-10,887",섬유제품,제사 및 방적,모방적,6,미국,"1,396",2.8,"12,283",2.6,8,2014
"24,252",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"47,991",16.1,"23,739",-15.9,8,2014
"7,935",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,309",18.7,"5,374",-11.4,8,2014
-227,섬유제품,제사 및 방적,기타 방적,11014,미국,0,-100.0,227,13.1,8,2014
-610,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,34,105.2,644,10.8,9,2014
"103,792",섬유제품,제사 및 방적,면방적,11019,미국,"117,841",-0.7,"14,049",10.9,9,2014
"-9,388",섬유제품,제사 및 방적,모방적,6,미국,"1,567",45.8,"10,955",21.6,9,2014
"14,060",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"41,219",5.8,"27,159",-8.1,9,2014
"9,339",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,016",14.2,"4,677",-0.6,9,2014
-31,섬유제품,제사 및 방적,기타 방적,11014,미국,95,246.9,126,42.9,9,2014
-488,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,3,-98.9,491,-4.9,10,2014
"108,071",섬유제품,제사 및 방적,면방적,11019,미국,"123,802",7.7,"15,731",4.9,10,2014
"-10,706",섬유제품,제사 및 방적,모방적,6,미국,"1,366",-1.6,"12,072",16.7,10,2014
"19,803",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"48,480",15.5,"28,677",-1.1,10,2014
"10,388",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,570",21.6,"5,182",23.2,10,2014
-228,섬유제품,제사 및 방적,기타 방적,11014,미국,38,-21.5,266,10.6,10,2014
-353,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,4,-81.6,357,-16.8,11,2014
"106,881",섬유제품,제사 및 방적,면방적,11019,미국,"120,098",12.4,"13,217",8.6,11,2014
"-7,517",섬유제품,제사 및 방적,모방적,6,미국,"1,360",13.9,"8,877",3.4,11,2014
"18,432",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"47,024",13.8,"28,592",7.5,11,2014
"11,303",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,409",37.0,"4,106",-7.7,11,2014
-140,섬유제품,제사 및 방적,기타 방적,11014,미국,0,-100.0,140,78.8,11,2014
-429,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,28,326.5,457,-4.3,12,2014
"79,173",섬유제품,제사 및 방적,면방적,11019,미국,"91,890",5.1,"12,717",5.2,12,2014
"-6,659",섬유제품,제사 및 방적,모방적,6,미국,"1,139",12.7,"7,798",-14.7,12,2014
"9,713",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"37,800",5.4,"28,087",15.6,12,2014
"8,790",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,309",26.1,"4,519",10.0,12,2014
-229,섬유제품,제사 및 방적,기타 방적,11014,미국,3,-40.0,232,18.5,12,2014
-644,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,5,-69.3,649,-45.4,1,2013
"87,671",섬유제품,제사 및 방적,면방적,11019,미국,"103,247",-12.2,"15,576",16.0,1,2013
"-7,801",섬유제품,제사 및 방적,모방적,6,미국,918,15.3,"8,719",-3.4,1,2013
"5,127",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"30,538",-19.4,"25,411",-5.9,1,2013
"7,402",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,979",11.6,"4,577",2.5,1,2013
-119,섬유제품,제사 및 방적,기타 방적,11014,미국,28,-12.5,147,-39.4,1,2013
-436,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,7,59.1,443,-46.8,2,2013
"95,481",섬유제품,제사 및 방적,면방적,11019,미국,"109,494",-9.0,"14,013",6.2,2,2013
"-6,493",섬유제품,제사 및 방적,모방적,6,미국,"1,043",0.9,"7,536",-7.4,2,2013
"6,380",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"32,914",-28.9,"26,534",28.5,2,2013
"6,161",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"10,942",9.2,"4,781",10.4,2,2013
-160,섬유제품,제사 및 방적,기타 방적,11014,미국,55,177.8,215,4.9,2,2013
-726,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,17,-26.6,743,67.4,3,2013
"99,901",섬유제품,제사 및 방적,면방적,11019,미국,"115,703",4.4,"15,802",2.5,3,2013
"-6,594",섬유제품,제사 및 방적,모방적,6,미국,"1,144",7.3,"7,738",-4.7,3,2013
"8,136",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"36,217",-28.7,"28,081",1.7,3,2013
"6,260",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,117",4.8,"4,857",3.5,3,2013
-149,섬유제품,제사 및 방적,기타 방적,11014,미국,31,-39.6,180,-47.8,3,2013
-546,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,3,-96.9,549,-41.0,4,2013
"97,344",섬유제품,제사 및 방적,면방적,11019,미국,"110,930",21.3,"13,586",-17.2,4,2013
"-9,181",섬유제품,제사 및 방적,모방적,6,미국,584,-21.4,"9,765",-13.8,4,2013
"7,286",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"36,650",-7.7,"29,364",9.0,4,2013
"7,444",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,564",19.3,"5,120",7.8,4,2013
-393,섬유제품,제사 및 방적,기타 방적,11014,미국,19,233.4,412,54.7,4,2013
-398,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,7,-26.5,405,-28.7,5,2013
"108,325",섬유제품,제사 및 방적,면방적,11019,미국,"123,731",10.1,"15,406",11.2,5,2013
"-9,407",섬유제품,제사 및 방적,모방적,6,미국,"1,114",68.5,"10,521",7.4,5,2013
"9,543",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"40,462",-3.3,"30,919",12.9,5,2013
"7,226",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,345",18.6,"5,119",-4.1,5,2013
-213,섬유제품,제사 및 방적,기타 방적,11014,미국,27,-79.3,240,15.3,5,2013
-410,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,29,318.5,439,-50.9,6,2013
"112,783",섬유제품,제사 및 방적,면방적,11019,미국,"123,490",6.0,"10,707",-25.0,6,2013
"-6,955",섬유제품,제사 및 방적,모방적,6,미국,"1,014",0.9,"7,969",-28.3,6,2013
"13,658",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"40,678",-1.9,"27,020",1.2,6,2013
"6,193",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,281",1.6,"5,088",-10.4,6,2013
-89,섬유제품,제사 및 방적,기타 방적,11014,미국,26,295.7,115,-38.7,6,2013
-823,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,20,2.7,843,41.8,7,2013
"110,554",섬유제품,제사 및 방적,면방적,11019,미국,"122,311",3.9,"11,757",-17.0,7,2013
"-10,378",섬유제품,제사 및 방적,모방적,6,미국,"1,092",2.0,"11,470",-10.7,7,2013
"9,889",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"39,275",5.8,"29,386",17.8,7,2013
"4,507",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"10,582",4.8,"6,075",12.5,7,2013
-171,섬유제품,제사 및 방적,기타 방적,11014,미국,19,-49.9,190,-24.0,7,2013
-460,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,51,82.3,511,-13.7,8,2013
"104,963",섬유제품,제사 및 방적,면방적,11019,미국,"118,372",-1.1,"13,409",3.6,8,2013
"-10,612",섬유제품,제사 및 방적,모방적,6,미국,"1,358",-1.9,"11,970",-4.6,8,2013
